tenant,pre-pr-issue-id,vendor_type,status,created_on,updated_on,update_query
th429,89810,PRIMARY,CREATED,2025-07-17 07:55:52.559000,2025-08-04 11:33:15.082000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 89810 AND vendor_type = 'PRIMARY';
th429,89815,PRIMARY,CREATED,2025-07-17 08:02:41.181000,2025-08-09 07:36:46.985000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 89815 AND vendor_type = 'PRIMARY';
th429,89816,PRIMARY,CREATED,2025-07-17 08:04:15.544000,2025-08-09 07:36:46.987000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 89816 AND vendor_type = 'PRIMARY';
th429,89968,PRIMARY,CREATED,2025-07-17 10:32:07.708000,2025-08-09 07:36:47.014000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 89968 AND vendor_type = 'PRIMARY';
th429,89978,PRIMARY,CREATED,2025-07-17 10:50:28.810000,2025-08-09 07:36:47.015000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 89978 AND vendor_type = 'PRIMARY';
th429,90015,PRIMARY,CREATED,2025-07-17 11:15:17.317000,2025-08-04 11:33:15.083000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90015 AND vendor_type = 'PRIMARY';
th429,90052,PRIMARY,CREATED,2025-07-17 11:49:05.897000,2025-08-09 07:36:47.026000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90052 AND vendor_type = 'PRIMARY';
th429,90224,PRIMARY,CREATED,2025-07-17 13:24:01.059000,2025-08-09 07:36:47.028000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90224 AND vendor_type = 'PRIMARY';
th429,90412,PRIMARY,CREATED,2025-07-18 08:01:00.896000,2025-08-09 07:36:47.030000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90412 AND vendor_type = 'PRIMARY';
th429,90413,PRIMARY,CREATED,2025-07-18 08:05:03.024000,2025-08-04 11:33:15.087000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90413 AND vendor_type = 'PRIMARY';
th429,90713,PRIMARY,CREATED,2025-07-19 04:30:44.180000,2025-08-04 11:33:15.093000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90713 AND vendor_type = 'PRIMARY';
th429,90752,PRIMARY,CREATED,2025-07-19 05:38:00.704000,2025-08-09 07:36:47.037000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90752 AND vendor_type = 'PRIMARY';
th429,90756,PRIMARY,CREATED,2025-07-19 05:52:29.375000,2025-08-09 07:36:47.038000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90756 AND vendor_type = 'PRIMARY';
th429,90758,PRIMARY,CREATED,2025-07-19 05:56:25.366000,2025-08-09 07:36:47.039000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90758 AND vendor_type = 'PRIMARY';
th429,90851,PRIMARY,CREATED,2025-07-19 07:24:19.549000,2025-08-09 07:36:47.041000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90851 AND vendor_type = 'PRIMARY';
th429,90877,PRIMARY,CREATED,2025-07-19 08:33:52.280000,2025-08-09 07:36:47.042000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 90877 AND vendor_type = 'PRIMARY';
th429,91195,PRIMARY,CREATED,2025-07-20 05:44:28.125000,2025-08-09 07:36:47.048000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91195 AND vendor_type = 'PRIMARY';
th429,91196,PRIMARY,CREATED,2025-07-20 05:44:52.748000,2025-08-09 07:36:47.048000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91196 AND vendor_type = 'PRIMARY';
th429,91197,PRIMARY,CREATED,2025-07-20 05:45:23.502000,2025-08-09 07:36:47.064000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91197 AND vendor_type = 'PRIMARY';
th429,91210,PRIMARY,CREATED,2025-07-20 06:27:30.149000,2025-08-09 07:36:47.065000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91210 AND vendor_type = 'PRIMARY';
th429,91386,PRIMARY,CREATED,2025-07-20 13:56:19.626000,2025-08-04 11:33:15.097000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91386 AND vendor_type = 'PRIMARY';
th429,91530,PRIMARY,CREATED,2025-07-21 10:54:13.518000,2025-08-04 11:33:15.098000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91530 AND vendor_type = 'PRIMARY';
th429,91536,PRIMARY,CREATED,2025-07-21 10:54:30.261000,2025-08-04 11:33:15.101000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91536 AND vendor_type = 'PRIMARY';
th429,91537,PRIMARY,CREATED,2025-07-21 10:59:42.094000,2025-08-04 11:33:15.102000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91537 AND vendor_type = 'PRIMARY';
th429,91538,PRIMARY,CREATED,2025-07-21 10:59:57.192000,2025-08-04 11:33:15.102000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91538 AND vendor_type = 'PRIMARY';
th429,91540,PRIMARY,CREATED,2025-07-21 11:06:39.127000,2025-08-04 11:33:15.103000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91540 AND vendor_type = 'PRIMARY';
th429,91541,PRIMARY,CREATED,2025-07-21 11:06:55.219000,2025-08-04 11:33:15.105000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91541 AND vendor_type = 'PRIMARY';
th429,91542,PRIMARY,CREATED,2025-07-21 11:07:10.218000,2025-08-04 11:33:15.107000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91542 AND vendor_type = 'PRIMARY';
th429,91543,PRIMARY,CREATED,2025-07-21 11:07:27.761000,2025-08-04 11:33:15.107000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91543 AND vendor_type = 'PRIMARY';
th429,91626,PRIMARY,CREATED,2025-07-22 06:06:16.436000,2025-08-04 11:33:15.108000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91626 AND vendor_type = 'PRIMARY';
th429,91672,PRIMARY,CREATED,2025-07-22 08:47:35.778000,2025-08-09 07:36:47.077000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91672 AND vendor_type = 'PRIMARY';
th429,91675,PRIMARY,CREATED,2025-07-22 08:51:24.273000,2025-08-09 07:36:47.078000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91675 AND vendor_type = 'PRIMARY';
th429,91682,PRIMARY,CREATED,2025-07-22 08:55:17.037000,2025-08-09 07:36:47.079000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91682 AND vendor_type = 'PRIMARY';
th429,91833,PRIMARY,CREATED,2025-07-23 04:57:52.745000,2025-08-04 11:33:15.123000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91833 AND vendor_type = 'PRIMARY';
th429,91835,PRIMARY,CREATED,2025-07-23 05:05:54.299000,2025-08-09 07:36:47.080000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91835 AND vendor_type = 'PRIMARY';
th429,91842,PRIMARY,CREATED,2025-07-23 05:31:33.888000,2025-08-09 07:36:47.081000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91842 AND vendor_type = 'PRIMARY';
th429,91861,PRIMARY,CREATED,2025-07-23 05:55:19.215000,2025-08-09 07:36:47.082000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91861 AND vendor_type = 'PRIMARY';
th429,91912,PRIMARY,CREATED,2025-07-23 06:44:00.854000,2025-08-09 07:36:47.082000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91912 AND vendor_type = 'PRIMARY';
th429,91913,PRIMARY,CREATED,2025-07-23 06:44:23.308000,2025-08-09 07:36:47.083000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91913 AND vendor_type = 'PRIMARY';
th429,91914,PRIMARY,CREATED,2025-07-23 06:44:46.897000,2025-08-09 07:36:47.084000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91914 AND vendor_type = 'PRIMARY';
th429,91949,PRIMARY,CREATED,2025-07-23 07:26:46.507000,2025-08-09 07:36:47.085000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 91949 AND vendor_type = 'PRIMARY';
th429,92204,PRIMARY,CREATED,2025-07-23 10:36:32.994000,2025-08-04 11:33:15.125000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 92204 AND vendor_type = 'PRIMARY';
th429,92205,PRIMARY,CREATED,2025-07-23 10:38:37.432000,2025-08-04 11:33:15.126000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 92205 AND vendor_type = 'PRIMARY';
th429,92549,PRIMARY,CREATED,2025-07-24 05:29:42.755000,2025-08-04 11:33:15.131000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 92549 AND vendor_type = 'PRIMARY';
th429,92550,PRIMARY,CREATED,2025-07-24 05:29:57.052000,2025-08-04 11:33:15.132000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 92550 AND vendor_type = 'PRIMARY';
th429,92674,PRIMARY,CREATED,2025-07-24 05:54:27.891000,2025-08-09 07:36:47.089000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 92674 AND vendor_type = 'PRIMARY';
th429,93301,PRIMARY,CREATED,2025-07-24 07:57:31.678000,2025-08-04 11:33:15.135000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 93301 AND vendor_type = 'PRIMARY';
th429,94885,PRIMARY,CREATED,2025-07-25 06:05:08.825000,2025-08-09 07:36:47.092000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 94885 AND vendor_type = 'PRIMARY';
th429,96018,PRIMARY,CREATED,2025-07-26 05:14:28.533000,2025-08-09 07:36:47.102000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 96018 AND vendor_type = 'PRIMARY';
th429,96019,PRIMARY,CREATED,2025-07-26 05:14:48.087000,2025-08-09 07:36:47.103000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 96019 AND vendor_type = 'PRIMARY';
th429,96052,PRIMARY,CREATED,2025-07-26 05:24:10.295000,2025-08-09 07:36:47.103000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 96052 AND vendor_type = 'PRIMARY';
th429,96163,PRIMARY,CREATED,2025-07-26 06:00:52.156000,2025-08-09 07:36:47.110000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 96163 AND vendor_type = 'PRIMARY';
th429,96886,PRIMARY,CREATED,2025-07-26 12:49:01.031000,2025-08-04 11:33:15.138000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 96886 AND vendor_type = 'PRIMARY';
th429,97006,PRIMARY,CREATED,2025-07-26 13:09:47.056000,2025-08-04 11:33:15.140000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 97006 AND vendor_type = 'PRIMARY';
th429,97770,PRIMARY,CREATED,2025-07-27 07:51:13.991000,2025-08-09 07:36:47.124000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 97770 AND vendor_type = 'PRIMARY';
th429,98002,PRIMARY,CREATED,2025-07-27 09:26:50.125000,2025-08-09 07:36:47.127000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 98002 AND vendor_type = 'PRIMARY';
th429,100229,PRIMARY,CREATED,2025-07-28 08:55:39.483000,2025-08-04 11:33:15.148000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 100229 AND vendor_type = 'PRIMARY';
th429,100838,PRIMARY,CREATED,2025-07-28 11:44:56.603000,2025-08-09 07:36:47.134000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 100838 AND vendor_type = 'PRIMARY';
th429,101507,PRIMARY,CREATED,2025-07-28 13:51:44.923000,2025-08-09 07:36:47.145000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 101507 AND vendor_type = 'PRIMARY';
th429,102024,PRIMARY,CREATED,2025-07-29 07:21:39.123000,2025-08-09 07:36:47.146000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 102024 AND vendor_type = 'PRIMARY';
th429,102220,PRIMARY,CREATED,2025-07-29 07:52:13.418000,2025-08-09 07:36:47.147000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 102220 AND vendor_type = 'PRIMARY';
th429,103364,PRIMARY,CREATED,2025-07-29 12:08:31.133000,2025-08-04 11:33:15.158000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 103364 AND vendor_type = 'PRIMARY';
th429,103504,PRIMARY,CREATED,2025-07-29 12:41:12.731000,2025-08-04 11:33:15.158000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 103504 AND vendor_type = 'PRIMARY';
th429,103505,PRIMARY,CREATED,2025-07-29 12:41:37.863000,2025-08-04 11:33:15.159000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 103505 AND vendor_type = 'PRIMARY';
th429,105113,PRIMARY,CREATED,2025-07-30 10:26:49.663000,2025-08-04 11:33:15.165000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 105113 AND vendor_type = 'PRIMARY';
th429,105114,PRIMARY,CREATED,2025-07-30 10:27:07.093000,2025-08-04 11:33:15.166000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 105114 AND vendor_type = 'PRIMARY';
th429,109674,PRIMARY,CREATED,2025-08-01 07:13:09.900000,2025-08-09 07:36:47.192000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109674 AND vendor_type = 'PRIMARY';
th429,109750,PRIMARY,CREATED,2025-08-01 13:12:27.469000,2025-08-09 07:36:47.193000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109750 AND vendor_type = 'PRIMARY';
th429,109813,PRIMARY,CREATED,2025-08-02 05:19:55.572000,2025-08-09 07:36:47.198000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109813 AND vendor_type = 'PRIMARY';
th429,109814,PRIMARY,CREATED,2025-08-02 05:20:24.301000,2025-08-09 07:36:47.198000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109814 AND vendor_type = 'PRIMARY';
th429,109844,PRIMARY,CREATED,2025-08-02 06:04:25.680000,2025-08-04 11:33:15.183000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109844 AND vendor_type = 'PRIMARY';
th429,109845,PRIMARY,CREATED,2025-08-02 06:04:42.670000,2025-08-04 11:33:15.183000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109845 AND vendor_type = 'PRIMARY';
th429,109847,PRIMARY,CREATED,2025-08-02 06:05:34.828000,2025-08-04 11:33:15.184000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109847 AND vendor_type = 'PRIMARY';
th429,109853,PRIMARY,CREATED,2025-08-02 06:15:00.458000,2025-08-04 11:33:15.189000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109853 AND vendor_type = 'PRIMARY';
th429,109900,PRIMARY,CREATED,2025-08-02 09:10:38.800000,2025-08-09 07:36:47.204000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 109900 AND vendor_type = 'PRIMARY';
th429,111591,PRIMARY,CREATED,2025-08-04 05:25:18.870000,2025-08-09 07:36:47.292000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 111591 AND vendor_type = 'PRIMARY';
th429,112587,PRIMARY,CREATED,2025-08-04 12:21:57.230000,2025-08-04 12:21:59.700000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 112587 AND vendor_type = 'PRIMARY';
th429,112588,PRIMARY,CREATED,2025-08-04 12:22:28.807000,2025-08-04 12:22:29.341000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 112588 AND vendor_type = 'PRIMARY';
th429,112590,PRIMARY,CREATED,2025-08-04 12:22:54.920000,2025-08-04 12:22:56.953000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 112590 AND vendor_type = 'PRIMARY';
th429,114528,PRIMARY,CREATED,2025-08-06 05:28:03.978000,2025-08-06 05:28:13.907000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 114528 AND vendor_type = 'PRIMARY';
