source_debit_note_number,source_tenant,dest_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4892 AND invoice_id = 24060 AND invoice_no = 'T0214-25A0005473';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4892 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4892 AND invoice_id = 24060 AND invoice_no = 'T0214-25A0005473';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4901 AND invoice_id = 23972 AND invoice_no = 'T0214-25A0005199';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4901 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4901 AND invoice_id = 23972 AND invoice_no = 'T0214-25A0005199';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 5256 AND invoice_id = 3420 AND invoice_no = 'T0214-25A0008339';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 5256 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 5256 AND invoice_id = 3420 AND invoice_no = 'T0214-25A0008339';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 5260 AND invoice_id = 23640 AND invoice_no = 'T0214-25A0004117';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 5260 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 5260 AND invoice_id = 23640 AND invoice_no = 'T0214-25A0004117';
P0435-25A0000018,th435,th214,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 5269 AND invoice_id = 41166 AND invoice_no = 'T0214-25A0008787';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 5269 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 3449 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 5269 AND invoice_id = 41166 AND invoice_no = 'T0214-25A0008787';
P0435-25A0000024,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 2780 AND invoice_id = 25114 AND invoice_no = 'T0429-25A0000270';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 2780 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 2780 AND invoice_id = 25114 AND invoice_no = 'T0429-25A0000270';
P0435-25A0000024,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4070 AND invoice_id = 41562 AND invoice_no = 'T0429-25A0002039';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4070 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4070 AND invoice_id = 41562 AND invoice_no = 'T0429-25A0002039';
P0435-25A0000024,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4072 AND invoice_id = 37821 AND invoice_no = 'T0429-25A0002556';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4072 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4072 AND invoice_id = 37821 AND invoice_no = 'T0429-25A0002556';
P0435-25A0000024,th435,th429,"UPDATE th435.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 4182 AND invoice_id = 40481 AND invoice_no = 'T0429-25A0000594';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 4182 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 191768 AND tenant = 'th435';",DELETE FROM th435.purchase_issue_invoice WHERE purchase_issue_id = 4182 AND invoice_id = 40481 AND invoice_no = 'T0429-25A0000594';
P0401-25A0000133,th401,th427,"UPDATE th401.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 91783 AND invoice_id = 51274 AND invoice_no = 'T0425-25A0001224';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 91783 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 60526 AND tenant = 'th401';",DELETE FROM th401.purchase_issue_invoice WHERE purchase_issue_id = 91783 AND invoice_id = 51274 AND invoice_no = 'T0425-25A0001224';
