source_debit_note_number,dest_tenant,source_tenant,cancelInvoiceQuery
DR0224-25A000148,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70575 and invoice_no = 'DR0224-25A000148' and status = 'StockHidden';
P0224-25A0000128,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70427 and invoice_no = 'P0224-25A0000128' and status = 'StockHidden';
P0401-25A0000163,th205,th401,UPDATE th205.inward_invoice SET status = 'CANCELLED' WHERE id = 555361 and invoice_no = 'P0401-25A0000163' and status = 'StockHidden';
DR0224-25A000070,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70346 and invoice_no = 'DR0224-25A000070' and status = 'StockHidden';
DR0413-25A000965,th429,th413,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 134485 and invoice_no = 'DR0413-25A000965' and status = 'StockHidden';
DR0224-25A000075,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70358 and invoice_no = 'DR0224-25A000075' and status = 'StockHidden';
PD0407-25A000577,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69249 and invoice_no = 'PD0407-25A000577' and status = 'StockHidden';
DR0224-25A000071,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70349 and invoice_no = 'DR0224-25A000071' and status = 'StockHidden';
P0434-25A0000010,th409,th434,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 52290 and invoice_no = 'P0434-25A0000010' and status = 'StockHidden';
P0402-25A0000086,th411,th402,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 194972 and invoice_no = 'P0402-25A0000086' and status = 'StockHidden';
P0434-25A0000004,th409,th434,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 52015 and invoice_no = 'P0434-25A0000004' and status = 'StockHidden';
DR0224-25A000152,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70586 and invoice_no = 'DR0224-25A000152' and status = 'StockHidden';
P0410-25A0000078,th411,th410,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 192140 and invoice_no = 'P0410-25A0000078' and status = 'StockHidden';
DR0417-25A000206,th418,th417,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 29066 and invoice_no = 'DR0417-25A000206' and status = 'StockHidden';
DR0401-25A000042,th418,th401,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 29048 and invoice_no = 'DR0401-25A000042' and status = 'StockHidden';
DR0224-25A000509,th427,th224,UPDATE th427.inward_invoice SET status = 'CANCELLED' WHERE id = 181542 and invoice_no = 'DR0224-25A000509' and status = 'StockHidden';
U0224-25A0000069,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70230 and invoice_no = 'U0224-25A0000069' and status = 'StockHidden';
P0417-25A0000040,th429,th417,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 135548 and invoice_no = 'P0417-25A0000040' and status = 'StockHidden';
U0224-25A0000031,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69035 and invoice_no = 'U0224-25A0000031' and status = 'StockHidden';
PD0406-25A000775,th411,th406,UPDATE th411.inward_invoice SET status = 'CANCELLED' WHERE id = 180352 and invoice_no = 'PD0406-25A000775' and status = 'StockHidden';
DR0421-25A000020,th429,th421,UPDATE th429.inward_invoice SET status = 'CANCELLED' WHERE id = 141871 and invoice_no = 'DR0421-25A000020' and status = 'StockHidden';
U0224-25A0000036,th223,th224,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 70223 and invoice_no = 'U0224-25A0000036' and status = 'StockHidden';
P0434-25A0000008,th409,th434,UPDATE th409.inward_invoice SET status = 'CANCELLED' WHERE id = 52277 and invoice_no = 'P0434-25A0000008' and status = 'StockHidden';
PD0214-25A006033,th223,th214,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 68805 and invoice_no = 'PD0214-25A006033' and status = 'StockHidden';
DR0435-25A000456,th418,th435,UPDATE th418.inward_invoice SET status = 'CANCELLED' WHERE id = 29042 and invoice_no = 'DR0435-25A000456' and status = 'StockHidden';
PD0407-25A000610,th223,th407,UPDATE th223.inward_invoice SET status = 'CANCELLED' WHERE id = 69398 and invoice_no = 'PD0407-25A000610' and status = 'StockHidden';
