source_debit_note_number,source_tenant,dest_tenant
P0223-25A0000007,th223,th427
P0223-25A0000006,th223,ar224
P0401-25A0000162,th401,th402
P0401-25A0000170,th401,th407
P0401-25A0000183,th401,th214
DR0401-25A000050,th401,ar401
P0401-25A0000177,th401,th408
DR0411-25A000061,th411,th402
P0418-25A0000036,th418,th214
P0437-25A0000001,th437,th427
