tenant,pre-pr-issue-id,vendor_type,status,created_on,updated_on,update_query
th428,63248,PRIMARY,CREATED,2025-08-12 11:58:39.481000,2025-08-12 11:58:41.136000,UPDATE th428.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 63248 AND vendor_type = 'PRIMARY';
th428,63249,PRIMARY,CREATED,2025-08-12 11:58:50.259000,2025-08-12 11:58:50.805000,UPDATE th428.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 63249 AND vendor_type = 'PRIMARY';
th429,127261,PRIMARY,CREATED,2025-08-12 06:49:55.499000,2025-08-12 06:49:57.230000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127261 AND vendor_type = 'PRIMARY';
th429,127282,PRIMARY,CREATED,2025-08-12 06:52:33.920000,2025-08-12 06:52:34.445000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127282 AND vendor_type = 'PRIMARY';
th429,127359,PRIMARY,CREATED,2025-08-12 07:07:38.783000,2025-08-12 07:07:40.679000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127359 AND vendor_type = 'PRIMARY';
th429,127464,PRIMARY,CREATED,2025-08-12 07:40:21.972000,2025-08-12 07:40:22.707000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127464 AND vendor_type = 'PRIMARY';
th429,127467,PRIMARY,CREATED,2025-08-12 07:40:52.946000,2025-08-12 07:40:54.449000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127467 AND vendor_type = 'PRIMARY';
th429,127468,PRIMARY,CREATED,2025-08-12 07:41:07.038000,2025-08-12 07:41:08.582000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127468 AND vendor_type = 'PRIMARY';
th429,127491,PRIMARY,CREATED,2025-08-12 07:47:43.532000,2025-08-12 07:47:45.069000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127491 AND vendor_type = 'PRIMARY';
th429,127746,PRIMARY,CREATED,2025-08-12 09:27:02.468000,2025-08-12 09:27:04.018000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127746 AND vendor_type = 'PRIMARY';
th429,127750,PRIMARY,CREATED,2025-08-12 09:27:37.296000,2025-08-12 09:27:40.760000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 127750 AND vendor_type = 'PRIMARY';
th429,128250,PRIMARY,CREATED,2025-08-12 11:24:15.515000,2025-08-12 11:25:21.521000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 128250 AND vendor_type = 'PRIMARY';
th429,128254,PRIMARY,CREATED,2025-08-12 11:25:19.284000,2025-08-12 11:25:31.715000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 128254 AND vendor_type = 'PRIMARY';
th429,128566,PRIMARY,CREATED,2025-08-12 12:49:27.058000,2025-08-12 12:49:27.691000,UPDATE th429.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 128566 AND vendor_type = 'PRIMARY';
th430,14414,PRIMARY,CREATED,2025-08-12 12:18:53.125000,2025-08-12 12:20:34.357000,UPDATE th430.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 14414 AND vendor_type = 'PRIMARY';
th604,1103,SECONDARY,CREATED,2025-08-12 12:32:10.797000,2025-08-12 12:32:10.797000,UPDATE th604.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 1103 AND vendor_type = 'SECONDARY';
th604,1104,PRIMARY,CREATED,2025-08-12 12:32:11.158000,2025-08-12 12:32:11.158000,UPDATE th604.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 1104 AND vendor_type = 'PRIMARY';
th604,1105,PRIMARY,CREATED,2025-08-13 06:34:26.685000,2025-08-13 06:34:26.685000,UPDATE th604.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 1105 AND vendor_type = 'PRIMARY';
th604,1106,PRIMARY,CREATED,2025-08-13 06:34:37.356000,2025-08-13 06:34:37.356000,UPDATE th604.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 1106 AND vendor_type = 'PRIMARY';
th611,480,PRIMARY,CREATED,2025-08-12 18:30:33.931000,2025-08-12 18:30:33.931000,UPDATE th611.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 480 AND vendor_type = 'PRIMARY';
th613,712,PRIMARY,CREATED,2025-08-12 06:32:11.442000,2025-08-12 06:32:11.442000,UPDATE th613.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 712 AND vendor_type = 'PRIMARY';
th613,713,PRIMARY,CREATED,2025-08-12 06:32:11.802000,2025-08-12 06:32:11.802000,UPDATE th613.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 713 AND vendor_type = 'PRIMARY';
th613,714,PRIMARY,CREATED,2025-08-12 12:33:42.704000,2025-08-12 12:33:42.704000,UPDATE th613.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 714 AND vendor_type = 'PRIMARY';
th617,429,PRIMARY,CREATED,2025-08-12 18:30:45.821000,2025-08-12 18:30:45.821000,UPDATE th617.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 429 AND vendor_type = 'PRIMARY';
th621,371,PRIMARY,CREATED,2025-08-12 12:31:04.050000,2025-08-12 12:31:04.050000,UPDATE th621.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 371 AND vendor_type = 'PRIMARY';
th622,217,SECONDARY,CREATED,2025-08-12 12:34:28.560000,2025-08-12 12:34:28.560000,UPDATE th622.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 217 AND vendor_type = 'SECONDARY';
th623,694,PRIMARY,CREATED,2025-08-13 06:34:27.185000,2025-08-13 06:34:27.185000,UPDATE th623.pre_purchase_issue_order SET vendor_type = 'REGULAR' WHERE id = 694 AND vendor_type = 'PRIMARY';
