id,invoice_id,invoice_no,purchase_issue_id,quantity,created_on,updated_on,created_by,updated_by,purchase_issue_item_id,tenant
78959,158679,A0400-24A0003212,138688,1,2025-04-30 04:19:17,2025-04-30 04:19:17,1f3e10b7-6140-44f7-96a8-b2b99c40b2c0,1f3e10b7-6140-44f7-96a8-b2b99c40b2c0,207540,th411
80266,159008,A0400-24A0003311,141589,7,2025-05-02 07:16:55,2025-05-02 07:16:55,1f3e10b7-6140-44f7-96a8-b2b99c40b2c0,1f3e10b7-6140-44f7-96a8-b2b99c40b2c0,210811,th411
