source_debit_note_number,source_tenant,dest_tenant
P0213-25A0000067,th213,th429
P0213-25A0000070,th213,th429
P0213-25A0000071,th213,th429
P0213-25A0000072,th213,th429
DR0214-25A001801,th214,th213
DR0214-25A000409,th214,th213
P0214-25A0002610,th214,th213
DR0214-25A004460,th214,th213
DR0224-25A000600,th224,th223
DR0224-25A000307,th224,th437
DR0224-25A000727,th224,th437
DR0224-25A000514,th224,th437
P0224-25A0000476,th224,th437
P0224-25A0000475,th224,th437
DR0402-25A000272,th402,th400
DR0411-25A000061,th411,th402
P0418-25A0000037,th418,th429
P0418-25A0000035,th418,th429
DR0418-25A000215,th418,th435
DR0425-25A000148,th425,th223
DR0425-25A000149,th425,th223
P0425-25A0000110,th425,th436
