source_debit_note_number,source_tenant,dest_tenant
DR0205-25A000041,th205,th223
DR0214-25A000009,th214,th213
DR0214-25A000409,th214,th213
DR0214-25A000934,th214,th213
DR0214-25A000941,th214,th213
DR0214-25A000945,th214,th213
DR0214-25A000952,th214,th213
DR0214-25A000957,th214,th213
DR0214-25A000958,th214,th213
DR0214-25A000995,th214,th213
DR0214-25A001021,th214,th213
DR0214-25A001033,th214,th213
DR0214-25A001039,th214,th213
DR0214-25A001041,th214,th213
DR0214-25A001109,th214,th213
DR0214-25A001530,th214,th213
DR0214-25A001616,th214,th213
DR0214-25A001629,th214,th213
DR0214-25A001657,th214,th213
DR0214-25A001679,th214,th213
DR0214-25A001797,th214,th213
DR0214-25A001801,th214,th213
DR0214-25A002128,th214,th213
DR0214-25A002143,th214,th213
DR0214-25A002257,th214,th213
DR0214-25A002329,th214,th213
DR0214-25A002408,th214,th411
DR0214-25A002522,th214,th213
DR0214-25A002539,th214,th213
DR0214-25A002551,th214,th213
DR0214-25A002557,th214,th213
DR0214-25A002624,th214,th429
DR0214-25A002628,th214,th429
DR0214-25A002632,th214,th429
DR0214-25A002633,th214,th429
DR0214-25A002956,th214,th435
DR0214-25A002963,th214,th435
DR0214-25A002970,th214,th429
DR0214-25A002984,th214,th213
DR0214-25A003005,th214,th213
DR0214-25A003012,th214,th213
DR0214-25A003018,th214,th213
DR0214-25A003023,th214,th213
DR0214-25A003053,th214,th213
DR0214-25A003067,th214,th213
DR0214-25A003086,th214,th213
DR0214-25A003108,th214,th213
DR0214-25A003127,th214,th213
DR0214-25A003129,th214,th213
DR0214-25A003165,th214,th213
DR0214-25A003180,th214,th213
DR0214-25A003198,th214,th213
DR0214-25A003211,th214,th213
DR0214-25A003238,th214,th213
DR0214-25A003247,th214,th213
DR0214-25A003260,th214,th213
DR0214-25A003299,th214,th213
DR0214-25A003303,th214,th213
DR0214-25A003311,th214,th213
DR0224-25A000027,th224,th223
DR0224-25A000180,th224,th223
DR0224-25A000192,th224,th223
DR0224-25A000215,th224,th223
DR0224-25A000228,th224,th223
DR0224-25A000249,th224,th437
DR0224-25A000263,th224,th427
DR0224-25A000291,th224,th437
DR0224-25A000292,th224,th437
DR0224-25A000293,th224,th437
DR0224-25A000299,th224,th437
DR0224-25A000302,th224,th437
DR0224-25A000303,th224,th437
DR0224-25A000307,th224,th437
DR0224-25A000309,th224,th437
DR0224-25A000311,th224,th437
DR0224-25A000313,th224,th437
DR0224-25A000317,th224,th437
DR0224-25A000353,th224,th437
DR0224-25A000357,th224,th437
DR0224-25A000360,th224,th437
DR0224-25A000367,th224,th223
DR0224-25A000368,th224,th437
DR0224-25A000379,th224,th437
DR0224-25A000384,th224,th437
DR0224-25A000385,th224,th437
DR0224-25A000438,th224,th437
DR0224-25A000448,th224,th437
DR0224-25A000461,th224,th437
DR0224-25A000474,th224,th437
DR0224-25A000475,th224,th437
DR0224-25A000493,th224,th437
DR0224-25A000496,th224,th427
DR0224-25A000498,th224,th437
DR0402-25A000059,th402,th400
DR0402-25A000061,th402,th400
DR0402-25A000127,th402,th400
DR0402-25A000138,th402,th400
DR0402-25A000203,th402,th400
DR0402-25A000217,th402,th400
DR0402-25A000219,th402,th400
DR0402-25A000234,th402,th400
DR0406-25A000002,th406,th223
DR0406-25A000100,th406,th223
DR0406-25A000129,th406,th223
DR0406-25A000131,th406,th223
DR0408-25A000110,th408,th411
DR0409-25A000011,th409,th402
DR0413-25A000964,th413,th435
DR0425-25A000015,th425,th223
DR0425-25A000080,th425,th223
DR0425-25A000086,th425,th223
P0223-25A0000004,th223,th427
P0223-25A0000005,th223,th427
P0413-25A0000292,th413,th429
P0413-25A0000294,th413,th214
P0413-25A0000296,th413,th205
P0413-25A0000305,th413,th205
PD0205-25A002666,th205,th411
PD0205-25A002675,th205,th402
PD0205-25A002681,th205,th402
PD0205-25A002683,th205,th402
PD0205-25A002873,th205,th223
PD0205-25A002885,th205,th223
PD0214-25A005255,th214,th223
PD0214-25A005983,th214,th407
PD0224-25A004194,th224,th223
PD0405-25A000395,th405,th223
PD0406-25A000527,th406,th213
PD0406-25A000535,th406,th223
PD0406-25A000560,th406,th223
PD0406-25A000565,th406,th223
PD0406-25A000573,th406,th213
PD0406-25A000578,th406,th418
PD0406-25A000592,th406,th223
PD0406-25A000771,th406,th411
PD0406-25A000774,th406,th411
PD0411-25A001725,th411,th205
PD0418-25A000068,th418,th430
DR0425-25A000101,th425,ar927
DR0425-25A000026,th425,ar927
