tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type,error_reason
th401,97593,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97595,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97597,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97599,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97604,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97608,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97610,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97616,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97619,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97622,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97624,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97626,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97629,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97631,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97634,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97637,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97639,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97644,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97647,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97650,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97654,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97658,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97661,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97663,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97665,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97667,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97671,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97674,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97675,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97678,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97682,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97684,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97688,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97690,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97692,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97695,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97696,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97697,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97699,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97701,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97704,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97706,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97708,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97710,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97711,READY_FOR_RACKING,,,60526,,th427,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97716,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97718,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97722,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97723,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97727,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97729,READY_FOR_RACKING,,,37923,,th425,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97739,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97740,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97741,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97743,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97744,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97746,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97747,READY_FOR_RACKING,,,37886,,th407,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97829,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97832,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97834,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
th401,97835,READY_FOR_RACKING,,,3440,,th224,DEBIT_NOTE_NUMBER,No warehouse ID found
