tenant,id,status,invoice_id,invoice_no,partner_detail_id,child_tenant_partner_detail_id,tenantCode,invoice_sequence_type
th214,704988,DISPATCH_READY,1006051,251402101996,2630,,,DELIVERY_CHALLAN_NORMAL
th214,705011,READY_FOR_RACKING,635122,3392395928,2053,,,DELIVERY_CHALLAN_NORMAL
th214,705026,READY_FOR_RACKING,,,31387,,,DELIVERY_CHALLAN_NORMAL
th214,705029,DISPATCH_READY,1001962,271000986167,14060,,,DELIVERY_CHALLAN_NORMAL
th214,705077,READY_FOR_RACKING,,,2646,,,DELIVERY_CHALLAN_NORMAL
th214,705078,READY_FOR_RACKING,648094,OS2712455787,2646,,,DELIVERY_CHALLAN_NORMAL
th214,705082,READY_FOR_RACKING,,,2646,,,DELIVERY_CHALLAN_NORMAL
th214,705490,DISPATCH_READY,1045047,SI/182988,31,,,DELIVERY_CHALLAN_NORMAL
th214,705491,DISPATCH_READY,1045840,SI/185498,31,,,DELIVERY_CHALLAN_NORMAL
th214,705630,READY_FOR_RACKING,1049666,U0025574464,31911,,,DELIVERY_CHALLAN_NORMAL
th214,705702,READY_FOR_RACKING,1038065,T0429-25A0001934,31911,,,DELIVERY_CHALLAN_NORMAL
th214,705813,DISPATCH_READY,1006054,251402101997,2630,,,DELIVERY_CHALLAN_NORMAL
th214,705824,READY_FOR_RACKING,530203,12SIM36039,2630,,,DELIVERY_CHALLAN_NORMAL
th214,705892,DISPATCH_READY,1000975,251402100966,2630,,,DELIVERY_CHALLAN_NORMAL
th214,705895,DISPATCH_READY,1000880,251402100961,2630,,,DELIVERY_CHALLAN_NORMAL
th214,705924,READY_FOR_RACKING,507104,IN2722005530,6027,,,DELIVERY_CHALLAN_NORMAL
th214,705946,DISPATCH_READY,1015517,F/7924,7,,,DELIVERY_CHALLAN_NORMAL
th214,705951,DISPATCH_READY,980438,F/74692,7,,,DELIVERY_CHALLAN_NORMAL
th214,705958,READY_FOR_RACKING,655666,F/57755,7,,,DELIVERY_CHALLAN_NORMAL
th214,705995,READY_FOR_RACKING,662718,F/61603,7,,,DELIVERY_CHALLAN_NORMAL
th214,705998,READY_FOR_RACKING,1000336,F/2793,7,,,DELIVERY_CHALLAN_NORMAL
th214,706004,READY_FOR_RACKING,1023230,F/10905,7,,,DELIVERY_CHALLAN_NORMAL
th214,706048,READY_FOR_RACKING,662764,F/61606,7,,,DELIVERY_CHALLAN_NORMAL
th214,715057,READY_FOR_RACKING,1027733,T0213-25A0005009,31,30186,,DELIVERY_CHALLAN_NORMAL
th214,715127,dormant,1050250,3392464266,2053,,,DELIVERY_CHALLAN_NORMAL
th214,715702,READY_FOR_RACKING,,,31,29788,,DELIVERY_CHALLAN_NORMAL
th214,724690,DISPATCH_READY,,,7,,,DELIVERY_CHALLAN_NORMAL
th214,724722,DISPATCH_READY,756091,F/40453,7,,,DELIVERY_CHALLAN_NORMAL
th214,724750,DISPATCH_READY,822640,F/59447,7,,,DELIVERY_CHALLAN_NORMAL
th214,724764,DISPATCH_READY,1017578,F/6334,7,,,DELIVERY_CHALLAN_NORMAL
th214,727742,READY_FOR_RACKING,588007,12SIN06160,2630,,,DELIVERY_CHALLAN_NORMAL
th214,737785,READY_FOR_RACKING,1022530,T0213-25A0003987,31,187206,,DELIVERY_CHALLAN_NORMAL
th214,738024,READY_FOR_RACKING,1049042,T0213-25A0007857,6027,6027,,DELIVERY_CHALLAN_NORMAL
th214,739917,READY_FOR_RACKING,645505,3392399248,2053,,,DELIVERY_CHALLAN_NORMAL
th214,739918,READY_FOR_RACKING,772091,3392436159,2053,,,DELIVERY_CHALLAN_NORMAL
th214,739932,READY_FOR_RACKING,599912,272301003691,1125,,,DELIVERY_CHALLAN_NORMAL
th214,740051,READY_FOR_RACKING,646855,I157,32748,,,DELIVERY_CHALLAN_NORMAL
th214,740052,READY_FOR_RACKING,646855,I157,32748,,,DELIVERY_CHALLAN_NORMAL
th214,740073,READY_FOR_RACKING,705115,OS2712514135,2646,,,DELIVERY_CHALLAN_NORMAL
th214,740410,DISPATCH_READY,628423,00195337,100,,,DELIVERY_CHALLAN_NORMAL
th214,740431,DISPATCH_READY,1000975,251402100966,2630,,,DELIVERY_CHALLAN_NORMAL
th214,740435,DISPATCH_READY,1043483,251402107270,2630,,,DELIVERY_CHALLAN_NORMAL
th214,740451,DISPATCH_READY,975885,241402132566,2630,,,DELIVERY_CHALLAN_NORMAL
th214,740452,READY_FOR_RACKING,658244,BH12324/GIS03253,2855,,,DELIVERY_CHALLAN_NORMAL
th214,740453,READY_FOR_RACKING,639410,BH12324/GIS02284,2855,,,DELIVERY_CHALLAN_NORMAL
th214,740454,DISPATCH_READY,723107,BH12425/GIS01323,2855,,,DELIVERY_CHALLAN_NORMAL
th214,740458,READY_FOR_RACKING,,,1773,,,DELIVERY_CHALLAN_NORMAL
th214,740459,READY_FOR_RACKING,517135,00817543,1773,,,DELIVERY_CHALLAN_NORMAL
th214,740477,READY_FOR_RACKING,631239,SI/328730,31,,,DELIVERY_CHALLAN_NORMAL
th214,740488,READY_FOR_RACKING,812621,SI/498239,31,,,DELIVERY_CHALLAN_NORMAL
th214,740516,READY_FOR_RACKING,711124,00685895,36,,,DELIVERY_CHALLAN_NORMAL
th214,740554,DISPATCH_READY,962709,F/67724,7,,,DELIVERY_CHALLAN_NORMAL
th214,741208,READY_FOR_RACKING,1014338,T0213-25A0003160,31,29788,,DELIVERY_CHALLAN_NORMAL
th214,745041,pending,723860,A008843,37595,,,DELIVERY_CHALLAN_NORMAL
th214,745042,pending,770191,SB-24-120036,7825,,,DELIVERY_CHALLAN_NORMAL
th214,745144,pending,801520,EA-24-985295,61,,,DELIVERY_CHALLAN_NORMAL
th214,750576,DISPATCH_READY,1028872,T0213-25A0005170,31911,190301,,DELIVERY_CHALLAN_NORMAL
th214,750612,DISPATCH_READY,834299,T0213-24A0002072,31911,187302,,DELIVERY_CHALLAN_NORMAL
th214,751720,READY_FOR_RACKING,594957,MH2321002201,2591,,,DELIVERY_CHALLAN_NORMAL
th214,751793,DISPATCH_READY,1043483,251402107270,2630,,,DELIVERY_CHALLAN_NORMAL
th214,751799,READY_FOR_RACKING,965301,4407342293,29788,,,DELIVERY_CHALLAN_NORMAL
th214,751828,DISPATCH_READY,1043886,IN2725003279,6027,,,DELIVERY_CHALLAN_NORMAL
th214,751848,DISPATCH_READY,1022561,KR/25-26/8657,31911,,,DELIVERY_CHALLAN_NORMAL
th214,751855,READY_FOR_RACKING,993550,KR/24-25/384,45329,,,DELIVERY_CHALLAN_NORMAL
th214,751873,DISPATCH_READY,674937,R/64753,186,,,DELIVERY_CHALLAN_NORMAL
th214,751876,DISPATCH_READY,686006,R/72636,186,,,DELIVERY_CHALLAN_NORMAL
th214,751879,DISPATCH_READY,727543,24/SZ-008501,1516,,,DELIVERY_CHALLAN_NORMAL
th214,751900,DISPATCH_READY,1027503,SI/125960,36,,,DELIVERY_CHALLAN_NORMAL
th214,751909,DISPATCH_READY,970840,R/70155,186,,,DELIVERY_CHALLAN_NORMAL
th214,751910,DISPATCH_READY,810458,R/54820,186,,,DELIVERY_CHALLAN_NORMAL
