tenant,invoice_no,invoice_status,cancelInvoiceQuery,cancelGatepassQuery
th435,P0214-25A0002121,StockHidden,"UPDATE th435.inward_invoice SET updated_on = NOW(), status = 'DELETED' WHERE id = 64304 AND status = 'StockHidden';","UPDATE th435.gatepass_invoice SET updated_on = NOW() , status = 'CANCELLED' WHERE gatepass_id = 15917 AND status = 'CREATED';"
th429,P0214-25A0002101,StockHidden,"UPDATE th429.inward_invoice SET updated_on = NOW(), status = 'DELETED' WHERE id = 142111 AND status = 'StockHidden';","UPDATE th429.gatepass_invoice SET updated_on = NOW() , status = 'CANCELLED' WHERE gatepass_id = 62657 AND status = 'CREATED';"
