skull_namespace,invoice_no,statuses,created_ons,created_by,total_count
th411,PD0413-25A003186,StockHidden,"2025-07-24 07:21:10, 2025-07-23 15:08:16",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004088,StockHidden,"2025-07-24 07:20:23, 2025-07-23 15:06:34",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000198,StockHidden,"2025-07-24 07:22:58, 2025-07-23 15:14:02",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004020,StockHidden,"2025-07-24 07:20:15, 2025-07-23 15:06:03",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000151,StockHidden,"2025-07-24 07:22:36, 2025-07-23 15:12:57",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000196,StockHidden,"2025-07-24 07:22:55, 2025-07-23 15:13:57",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000005,StockHidden,"2025-07-24 07:21:35, 2025-07-23 15:09:22",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th224,PD0428-25A001353,StockHidden,"2025-07-24 07:20:51, 2025-07-23 15:07:34",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004794,StockHidden,"2025-07-24 07:21:27, 2025-07-23 15:09:05",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,PD0224-25A004226,StockHidden,"2025-07-24 07:20:49, 2025-07-23 15:07:27",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th427,PD0411-25A001648,StockHidden,"2025-07-24 07:21:02, 2025-07-23 15:08:03",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000156,StockHidden,"2025-07-24 07:22:37, 2025-07-23 15:13:02",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th214,PD0413-25A003189,StockHidden,"2025-07-24 07:21:11, 2025-07-23 15:08:19",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th405,PD0205-25A002859,StockHidden,"2025-07-24 07:21:04, 2025-07-23 15:08:07",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th213,DR0214-25A002433,live,"2025-08-01 04:39:15, 2025-08-01 04:40:06",152753ca-2d1b-4e71-ac34-0a700128f384,2
th223,DR0224-25A000248,StockHidden,"2025-07-24 07:24:35, 2025-07-23 15:15:55",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000020,StockHidden,"2025-07-24 07:21:38, 2025-07-23 15:09:31",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
th223,DR0224-25A000220,StockHidden,"2025-07-24 07:23:07, 2025-07-23 15:14:18",3fffe9b6-ca14-4fe5-b817-c22334ac62d9,2
