source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,invoice_sequence_type,pr_type,invoice_date,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
P0213-25A0000067,th429,th213,47211,62461,9816142335,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 04:31:43,,False,READY_FOR_DELIVERY
P0213-25A0000067,th429,th213,47212,64105,ADRJ-22-3569,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 04:31:43,,False,READY_FOR_DELIVERY
P0213-25A0000067,th429,th213,47213,22215,9816148977,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 04:31:43,,False,READY_FOR_DELIVERY
P0224-25A0000376,th428,th224,778411,820269,T0223-25A0000331,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 12:20:35,,False,READY_FOR_DELIVERY
P0224-25A0000373,th428,th224,778412,815243,T0223-24A0003866,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 12:05:06,,False,READY_FOR_DELIVERY
P0224-25A0000372,th428,th224,778413,810499,T0223-24A0003481,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-16 12:02:14,,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47283,9054,A0214-24A0000166,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th418,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47358,23673,T0214-25A0004178,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th418,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47425,62728,T0214-25A0014083,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th435,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47496,9053,A0214-24A0000165,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th418,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47547,53272,T0214-25A0006148,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th435,False,READY_FOR_DELIVERY
P0413-25A0000308,th214,th413,47560,53333,T0214-25A0006260,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-18 12:08:15,th435,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17531,6129,MU214/23/A000284,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17533,6129,MU214/23/A000284,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17549,6084,MU214/23/A000088,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17578,6143,MU214/23/A000339,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17582,6140,MU214/23/A000327,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17583,6120,MU214/23/A000225,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17640,6099,MU214/23/A000146,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17644,6084,MU214/23/A000088,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17672,6126,MU214/23/A000269,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,17676,9057,A0214-24A0000169,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18369,38941,T0214-25A0005601,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th413,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18382,9182,MU214/23/A000382,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18390,5123,AR22-23-477,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th413,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18397,9182,MU214/23/A000382,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18420,3787,AR22-22-5273,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th417,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18425,34361,T0214-25A0004349,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th417,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18457,38667,T0214-25A0004974,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th413,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18467,6368,MU214/23/A000349,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th414,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18479,5007,AR22-22-7552,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th413,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18487,35053,T0214-25A0006030,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th417,False,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18613,6104,MU214/23/A000158,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18614,6146,MU214/23/A000358,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18615,6088,MU214/23/A000117,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18616,6133,MU214/23/A000294,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18618,6102,MU214/23/A000154,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
