source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,invoice_sequence_type,pr_type,invoice_date,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
P0418-25A0000036,th214,th418,18620,9057,A0214-24A0000169,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18622,6116,MU214/23/A000205,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18624,9180,MU214/23/A000371,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000036,th214,th418,18626,6126,MU214/23/A000269,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 08:16:48,th418,True,READY_FOR_DELIVERY
P0418-25A0000037,th429,th418,16965,40764,T0429-25A0001113,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 09:40:59,th413,False,READY_FOR_DELIVERY
P0418-25A0000037,th429,th418,17470,37164,T0429-25A0001719,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 09:40:59,th417,False,READY_FOR_DELIVERY
P0418-25A0000037,th429,th418,18008,40599,T0429-25A0000841,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 09:40:59,th413,False,READY_FOR_DELIVERY
P0418-25A0000037,th429,th418,18137,36483,T0429-25A0000799,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 09:40:59,th417,False,READY_FOR_DELIVERY
P0418-25A0000035,th429,th418,17952,36769,T0429-25A0001266,DEBIT_NOTE_NUMBER,PURCHASE_RETURN,2025-08-19 07:58:12,th417,False,READY_FOR_DELIVERY
DR0418-25A000215,th435,th418,17808,36150,D0435-25A0000142,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-19 09:53:29,th417,False,READY_FOR_DELIVERY
DR0418-25A000215,th435,th418,17809,42082,D0435-25A0000771,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-19 09:53:29,th413,False,READY_FOR_DELIVERY
DR0418-25A000215,th435,th418,17811,39812,D0435-25A0000005,DELIVERY_CHALLAN,PURCHASE_RETURN,2025-08-19 09:53:29,th413,False,READY_FOR_DELIVERY
