source_debit_note_number,dest_tenant,source_tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_qunatity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
DR0224-25A000292,th437,th224,818711,M71467,GH30522,PR1-R01-S01-276,1,405.50,509289,777697,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818764,I42676,B530309,PR1-R01-S01-276,1,26.13,514813,777750,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818771,I37104,A630114,PR1-R01-S01-276,1,18.80,520743,777757,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818774,082380,DZ23067,PR1-R01-S01-276,1,131.35,521349,777760,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818783,S81424,LGM23029,PR1-R01-S01-276,1,69.60,523851,777769,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818802,082380,DZ23066,PR1-R01-S01-276,1,131.35,528038,777788,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818820,S82516,SA30620,PR1-R01-S01-276,2,48.27,528978,777806,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818829,T83708,A330435,PR1-R01-S01-276,3,180.00,529142,777815,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818842,I01327,SA31759,PR1-R01-S01-276,2,313.04,529639,777828,READY_FOR_DELIVERY
DR0224-25A000292,th437,th224,818850,150920,SB20727,PR1-R01-S01-276,3,123.45,531217,777836,READY_FOR_DELIVERY
DR0224-25A000309,th437,th224,817917,114756,MK1AK332,PR1-R01-S01-049,1,116.74,518082,776904,READY_FOR_DELIVERY
DR0224-25A000302,th437,th224,817947,U33364,MLJRAO01,PR1-R01-S01-050,1,206.44,527343,776934,READY_FOR_DELIVERY
DR0224-25A000302,th437,th224,818120,I36015,O24028,PR1-R01-S01-050,1,99.00,522248,777107,READY_FOR_DELIVERY
DR0224-25A000368,th437,th224,821196,114756,MK1AK332,PR1-R01-S01-024,1,116.74,537726,780094,READY_FOR_DELIVERY
DR0224-25A000368,th437,th224,821200,246326,PVMAR04,PR1-R01-S01-024,5,646.86,537724,780094,READY_FOR_DELIVERY
DR0224-25A000368,th437,th224,821202,114756,MK1AK332,PR1-R01-S01-024,21,2451.49,537722,780094,READY_FOR_DELIVERY
DR0224-25A000379,th437,th224,820030,129635,3JA02,PR1-R01-S01-222,1,101.19,527658,778989,READY_FOR_DELIVERY
DR0224-25A000293,th437,th224,818243,381769,K2301701,PR1-R01-S01-189,1,33.76,524931,777230,READY_FOR_DELIVERY
DR0224-25A000303,th437,th224,818218,J07135,MJ052,PR1-R01-S01-212,3,39.88,504120,777205,READY_FOR_DELIVERY
DR0224-25A000303,th437,th224,822566,I36668,LRA23002,PR1-R01-S01-212,1,319.33,536549,780633,READY_FOR_DELIVERY
DR0224-25A000307,th437,th224,822532,K28293,035D122,PR1-R01-S01-247,1,186.79,533291,780599,READY_FOR_DELIVERY
DR0224-25A000299,th437,th224,822494,R76710,A24086SV,PR1-R01-S01-299,1,340.70,533483,780561,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818727,I06081,R830330,PR1-R01-S01-375,2,39.04,508851,777713,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818729,S81424,LGM23020,PR1-R01-S01-375,2,139.19,520724,777715,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818731,S81424,LGM23024,PR1-R01-S01-375,3,208.79,520725,777717,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818733,S81424,LGM23024,PR1-R01-S01-375,3,208.79,522086,777719,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818738,104250,SA31436,PR1-R01-S01-375,1,29.90,531222,777724,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818739,104250,SA30848,PR1-R01-S01-375,2,59.79,531331,777725,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818741,S81424,LGM23024,PR1-R01-S01-375,1,69.60,531394,777727,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818743,S81424,LGM23018,PR1-R01-S01-375,6,414.42,531507,777729,READY_FOR_DELIVERY
DR0224-25A000448,th437,th224,818744,S81424,LGM23032,PR1-R01-S01-375,2,138.14,533379,777730,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819842,I12335,741U2314,PR1-R01-S01-382,1,273.60,500259,778801,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819843,I32978,306P2305,PR1-R01-S01-382,1,154.80,500261,778802,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819846,191919,306E2308,PR1-R01-S01-382,1,114.48,502163,778805,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819847,I44281,680P2402F,PR1-R01-S01-382,1,418.92,504545,778806,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819850,260148,407TM2326,PR1-R01-S01-382,1,291.60,505244,778809,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819853,248014,649SJ2327F,PR1-R01-S01-382,1,237.60,508360,778812,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819855,I32368,357WL2213,PR1-R01-S01-382,1,399.60,511539,778814,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819858,031551,377E23230,PR1-R01-S01-382,1,124.67,511854,778817,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819863,031550,098P2314,PR1-R01-S01-382,1,123.12,511915,778822,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819868,P26899,606E2305,PR1-R01-S01-382,1,31.56,512698,778827,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819870,260148,407TM2326,PR1-R01-S01-382,1,291.60,514341,778829,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819871,191919,306E2308,PR1-R01-S01-382,1,114.48,514501,778830,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819874,I13917,743SPL2310F,PR1-R01-S01-382,1,142.56,514681,778833,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819876,L86677,791U2316,PR1-R01-S01-382,2,495.35,514691,778835,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819883,I13917,743DB2303F,PR1-R01-S01-382,4,596.14,520094,778842,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819884,209415,379EL2316,PR1-R01-S01-382,1,273.60,520299,778843,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819886,I13917,743DB2302F,PR1-R01-S01-382,6,894.27,521794,778845,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819888,I36174,458SPL2404,PR1-R01-S01-382,3,734.40,522468,778847,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819891,I12335,741U2324,PR1-R01-S01-382,1,246.24,523445,778850,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819893,I13917,743DB2302F,PR1-R01-S01-382,1,149.05,523446,778852,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819896,192730,310SPL2405F,PR1-R01-S01-382,1,272.88,523671,778855,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819899,176617,193U2305,PR1-R01-S01-382,1,100.80,524906,778858,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819901,176617,193U2305,PR1-R01-S01-382,1,100.80,525091,778860,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819902,176617,193U2305,PR1-R01-S01-382,1,100.80,525236,778861,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819903,P26899,606E2309,PR1-R01-S01-382,29,915.29,525741,778862,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819905,176617,193U2304,PR1-R01-S01-382,2,201.60,525773,778864,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819909,P26899,606E2309,PR1-R01-S01-382,1,31.56,525784,778868,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819912,I32763,322WL2305,PR1-R01-S01-382,1,673.20,525922,778871,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819914,A27918,778EL2403F,PR1-R01-S01-382,1,194.41,526192,778873,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819917,I11850,739P2309F,PR1-R01-S01-382,1,123.12,526678,778876,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819923,031551,377E2463,PR1-R01-S01-382,1,121.30,527176,778882,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819926,I03698,713TL2401F,PR1-R01-S01-382,1,316.79,528556,778885,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819929,031531,258U2323,PR1-R01-S01-382,1,243.01,529089,778888,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819936,191919,306DB2302,PR1-R01-S01-382,1,114.48,529615,778895,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819938,031531,258U2323,PR1-R01-S01-382,1,243.01,530723,778897,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819940,I32978,306P2304,PR1-R01-S01-382,1,154.80,531734,778899,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819944,P26899,606E2305,PR1-R01-S01-382,1,31.56,532730,778903,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819947,L86677,791U2327,PR1-R01-S01-382,1,247.68,533189,778906,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819950,031531,258U2323,PR1-R01-S01-382,1,243.01,533893,778909,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819954,046335,010P2316,PR1-R01-S01-382,1,46.44,534167,778913,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819957,046335,010P2321,PR1-R01-S01-382,1,46.44,534168,778916,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,819962,I32903,750E2305,PR1-R01-S01-382,1,66.96,534277,778921,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,820563,I36122,728EL2409,PR1-R01-S01-382,1,1152.00,512788,779521,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,821944,R06231,575SJ2402F,PR1-R01-S01-382,5,2726.75,538712,780234,READY_FOR_DELIVERY
DR0224-25A000353,th437,th224,821951,P26899,606E2309,PR1-R01-S01-382,4,126.25,538684,780234,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819851,024270,JM6A,PR1-R01-S01-381,1,28.76,507077,778810,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819859,024255,JM6J,PR1-R01-S01-381,1,29.62,520897,778818,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819877,140155,RE110,PR1-R01-S01-381,1,88.94,523432,778836,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819878,140155,RE114,PR1-R01-S01-381,2,197.64,523642,778837,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819890,208705,823B133,PR1-R01-S01-381,1,116.44,523857,778849,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819897,S05961,GR7C,PR1-R01-S01-381,1,65.81,523889,778856,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819900,140150,NA203,PR1-R01-S01-381,1,80.64,523952,778859,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819906,190815,NA136,PR1-R01-S01-381,1,108.86,524422,778865,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819908,017170,D400287,PR1-R01-S01-381,2,204.78,524587,778867,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819911,P94514,NA276,PR1-R01-S01-381,1,27.57,525001,778870,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819915,021930,BH466,PR1-R01-S01-381,1,39.41,525304,778874,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819920,P94514,NA276,PR1-R01-S01-381,1,27.57,525490,778879,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819922,140155,NA103,PR1-R01-S01-381,1,88.94,525757,778881,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819925,032095,NA274,PR1-R01-S01-381,2,43.30,525761,778884,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819927,017170,D400376,PR1-R01-S01-381,1,113.41,525764,778886,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819930,032095,NA274,PR1-R01-S01-381,3,64.95,525782,778889,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819931,I02327,MA501,PR1-R01-S01-381,1,73.52,525902,778890,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819932,190815,NA139,PR1-R01-S01-381,1,108.86,525977,778891,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819933,036885,GUTC23036,PR1-R01-S01-381,1,165.91,526047,778892,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819935,139055,DFE2721A,PR1-R01-S01-381,1,177.62,526071,778894,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819939,017170,D400376,PR1-R01-S01-381,1,113.41,526294,778898,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819942,071025,3HV05,PR1-R01-S01-381,1,72.64,526540,778901,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819952,P94514,NA294-,PR1-R01-S01-381,1,30.97,527376,778911,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819956,D27190,EA2369,PR1-R01-S01-381,1,9.90,527509,778915,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819958,071025,4HV01,PR1-R01-S01-381,1,79.89,527780,778917,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819961,D94343,H34M,PR1-R01-S01-381,1,138.38,527822,778920,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819963,D94343,RC3Y,PR1-R01-S01-381,1,138.38,528016,778922,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819967,140155,RE114,PR1-R01-S01-381,1,98.82,528205,778926,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819969,140155,RE110,PR1-R01-S01-381,1,88.94,528336,778928,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819970,P94514,NA281,PR1-R01-S01-381,1,29.02,528481,778929,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819973,071030,4HW08,PR1-R01-S01-381,2,193.76,528592,778932,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819975,071025,3HV07,PR1-R01-S01-381,1,79.89,528617,778934,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819978,071030,4HW04,PR1-R01-S01-381,1,96.88,528622,778937,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819983,036880,GCTB23005,PR1-R01-S01-381,1,152.35,528767,778942,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819984,190790,EN144,PR1-R01-S01-381,1,100.24,529333,778943,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819986,239819,888S,PR1-R01-S01-381,1,320.33,529346,778945,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,819999,D94343,D96E,PR1-R01-S01-381,1,138.38,529478,778958,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820010,036880,GCTB23005,PR1-R01-S01-381,1,152.35,531881,778969,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820012,139055,DFE2721A,PR1-R01-S01-381,1,177.62,531891,778971,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820014,140155,RE110,PR1-R01-S01-381,1,88.94,532810,778973,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820015,259914,824C006,PR1-R01-S01-381,1,181.33,533092,778974,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820016,140155,RE108,PR1-R01-S01-381,1,88.94,533389,778975,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820018,024270,JM6A,PR1-R01-S01-381,1,28.76,533695,778977,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820022,190815,NA135,PR1-R01-S01-381,1,108.86,533997,778981,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820024,I36830,X45S,PR1-R01-S01-381,1,263.27,534148,778983,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820026,D94343,7A4D,PR1-R01-S01-381,1,138.38,534151,778985,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820939,158390,HD9R,PR1-R01-S01-381,1,683.75,523335,779897,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820944,140150,NA235,PR1-R01-S01-381,14,1128.96,526446,779902,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820946,121265,NA106,PR1-R01-S01-381,1,62.17,526455,779904,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820949,C06750,R256,PR1-R01-S01-381,1,85.28,527451,779907,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820951,168735,5HT18,PR1-R01-S01-381,4,494.37,528817,779909,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820952,121265,NA106,PR1-R01-S01-381,1,62.17,529597,779910,READY_FOR_DELIVERY
DR0224-25A000313,th437,th224,820954,C06750,R232,PR1-R01-S01-381,1,94.75,532494,779912,READY_FOR_DELIVERY
DR0224-25A000384,th437,th224,819919,I34593,527SPL2406,PR1-R01-S01-002,2,629.28,526989,778878,READY_FOR_DELIVERY
DR0224-25A000357,th437,th224,821203,I27599,GTE1937A,PR1-R01-S01-131,1,320.40,537711,780096,READY_FOR_DELIVERY
DR0224-25A000360,th437,th224,821257,V64848,360923,PR1-R01-S01-176,1,1620.00,537672,780101,READY_FOR_DELIVERY
DR0224-25A000360,th437,th224,821258,V64848,360923,PR1-R01-S01-176,2,3240.00,537671,780101,READY_FOR_DELIVERY
DR0224-25A000360,th437,th224,821261,U70764,NE144,PR1-R01-S01-176,2,220.06,537670,780101,READY_FOR_DELIVERY
DR0224-25A000360,th437,th224,821268,255148,824D087,PR1-R01-S01-176,2,278.92,537669,780101,READY_FOR_DELIVERY
DR0224-25A000360,th437,th224,821271,255148,824D087,PR1-R01-S01-176,40,5578.50,537668,780101,READY_FOR_DELIVERY
DR0224-25A000475,th437,th224,821292,M85544,VHL2308009,PR1-R01-S01-017,2,64.60,537681,780105,READY_FOR_DELIVERY
DR0224-25A000438,th437,th224,821973,I05640,UGT231249,PR1-R01-S01-124,1,71.99,538704,780238,READY_FOR_DELIVERY
DR0224-25A000461,th437,th224,821974,J91292,HO-12,PR1-R01-S01-047,1,271.64,538581,780239,READY_FOR_DELIVERY
DR0224-25A000461,th437,th224,821976,J91292,HO-12,PR1-R01-S01-047,1,271.64,538580,780239,READY_FOR_DELIVERY
DR0224-25A000461,th437,th224,821978,J91292,HO-12,PR1-R01-S01-047,9,2444.80,538579,780239,READY_FOR_DELIVERY
DR0224-25A000461,th437,th224,821979,J91292,HO-12,PR1-R01-S01-047,12,3259.74,538578,780239,READY_FOR_DELIVERY
DR0224-25A000461,th437,th224,821981,J91292,HO-12,PR1-R01-S01-047,22,5976.19,538577,780239,READY_FOR_DELIVERY
DR0224-25A000493,th437,th224,839346,F44387,MPM235151,PR1-R01-S01-052,1,77.60,516876,793856,READY_FOR_DELIVERY
DR0224-25A000493,th437,th224,839348,F44387,MPM235151,PR1-R01-S01-052,2,155.21,517898,793858,READY_FOR_DELIVERY
DR0224-25A000493,th437,th224,839352,F44387,MPM235151,PR1-R01-S01-052,4,310.42,524749,793862,READY_FOR_DELIVERY
DR0224-25A000385,th437,th224,823118,Q88340,MT244194,PR1-R01-S01-005,1,348.84,538426,781181,READY_FOR_DELIVERY
DR0224-25A000498,th437,th224,844533,200802,AT-004325,PR1-R01-S01-121,1,24.64,545499,796729,READY_FOR_DELIVERY
DR0435-25A000399,th214,th435,4404,S62706,BC09036-,PR1-R1-S1-234,2,278.60,4388,3747,READY_FOR_DELIVERY
