dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th403,th205,305384,514590,T0205-24A0013445,REGULAR,,False,READY_FOR_DELIVERY
th425,th205,295745,508659,T0205-23A0003803,REGULAR,,False,DELIVERED
th428,th205,295789,512849,T0205-24A0002255,REGULAR,,False,DELIVERED
th405,th205,311452,506599,3184547835,REGULAR,,False,READY_FOR_DELIVERY
th403,th205,305385,514587,T0205-24A0013402,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,548497,982380,T0213-24A0006326,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,539685,825256,T0213-24A0001236,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,551688,959295,T0213-24A0003927,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,548493,982380,T0213-24A0006326,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,551621,992060,T0213-25A0000020,REGULAR,,False,DELIVERED
th213,th214,511354,819076,T0213-24A0000808,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,551693,993042,T0213-25A0000082,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,552200,999224,T0213-25A0000862,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,552320,981817,T0213-24A0006453,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,553704,1000325,T0213-25A0000968,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,556506,976362,T0213-24A0006049,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,553734,995634,T0213-25A0000332,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,555832,998052,T0213-25A0000720,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,556612,995291,T0213-25A0000280,REGULAR,,False,DELIVERED
th213,th214,555879,976362,T0213-24A0006049,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,556539,995291,T0213-25A0000280,REGULAR,,False,DELIVERED
th213,th214,571205,980760,T0213-24A0006380,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,576794,991328,T0213-24A0007182,REGULAR,,False,READY_FOR_RACKING
th213,th214,641457,992915,T0213-25A0000072,REGULAR,,False,DELIVERED
th213,th214,638826,1000325,T0213-25A0000968,REGULAR,,False,READY_FOR_DELIVERY
th413,th214,650916,967002,115/24/S/864,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,650998,1003316,T0213-25A0001258,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,651823,998052,T0213-25A0000720,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,651022,972567,T0213-24A0005623,REGULAR,,False,DELIVERED
th413,th214,652041,1031010,100836-SR,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,651940,996440,T0213-25A0000493,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,783952,990221,T0213-24A0007088,REGULAR,,False,DELIVERED
th435,th214,779315,993287,SC-24-1535637,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,783951,841149,T0213-24A0002929,REGULAR,,False,DELIVERED
th213,th214,772804,1063784,SI/240468,REGULAR,,False,READY_FOR_DELIVERY
th213,th214,783949,835670,T0213-24A0002290,REGULAR,,False,DELIVERED
th417,th214,783765,980104,T0214-24A0009837,REGULAR,,False,DELIVERED
th213,th214,783953,830089,T0213-24A0001612,REGULAR,,False,DELIVERED
th213,th214,783969,985097,T0213-24A0006710,REGULAR,,False,DELIVERED
th213,th214,783970,993283,T0213-25A0000100,REGULAR,,False,DELIVERED
th213,th214,783995,974082,T0213-24A0005850,REGULAR,,False,DELIVERED
th213,th214,783996,991093,T0213-24A0007161,REGULAR,,False,DELIVERED
th213,th214,783977,1004283,T0213-25A0001363,REGULAR,,False,DELIVERED
th213,th214,783994,984715,T0213-24A0006671,REGULAR,,False,DELIVERED
th213,th214,783997,990205,T0213-24A0007086,REGULAR,,False,DELIVERED
th213,th214,784000,830089,T0213-24A0001612,REGULAR,,False,DELIVERED
th213,th214,783998,971013,T0213-24A0005414,REGULAR,,False,DELIVERED
