dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th214,th417,27626,27794,T0214-25A0013120,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27630,23786,T0214-25A0004519,PURCHASE_RETURN,th418,False,DISPATCH_READY
th435,th417,27642,40879,D0435-25A0000320,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th417,27632,3782,AR22-22-5105,PURCHASE_RETURN,th417,True,DISPATCH_READY
th435,th417,27643,43013,D0435-25A0001018,PURCHASE_RETURN,th413,False,DISPATCH_READY
th435,th417,27655,43026,D0435-25A0001023,PURCHASE_RETURN,th413,False,DISPATCH_READY
th435,th417,27667,44118,D0435-25A0001108,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th417,27672,3876,AR22-23-1681,PURCHASE_RETURN,th417,True,DISPATCH_READY
th214,th417,27684,55470,T0214-25A0008086,PURCHASE_RETURN,th435,False,DISPATCH_READY
th214,th417,27685,3860,AR22-23-1432,PURCHASE_RETURN,th417,True,DISPATCH_READY
th214,th417,27686,6301,MU214/23/A000070,PURCHASE_RETURN,th414,False,DISPATCH_READY
th214,th417,27690,24271,T0214-25A0005922,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27699,24702,T0214-25A0006919,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27710,5059,AR22-23-1263,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th417,27735,5082,AR22-23-1682,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th417,27762,24089,T0214-25A0005527,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27765,42258,T0214-25A0010862,PURCHASE_RETURN,th413,False,DISPATCH_READY
th214,th417,27773,3802,AR22-22-7063,PURCHASE_RETURN,th417,True,DISPATCH_READY
th214,th417,27777,6108,MU214/23/A000178,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27802,6126,MU214/23/A000269,PURCHASE_RETURN,th418,False,DISPATCH_READY
th214,th417,27818,3884,AR22-23-1885,PURCHASE_RETURN,th417,True,DISPATCH_READY
th429,th417,27872,27126,T0429-25A0003677,PURCHASE_RETURN,th418,False,DISPATCH_READY
th429,th417,27891,42815,T0429-25A0003918,PURCHASE_RETURN,th413,False,DISPATCH_READY
th429,th417,27923,43486,T0429-25A0004674,PURCHASE_RETURN,th413,False,DISPATCH_READY
