source_debit_note_number,dest_tenant,source_tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_qunatity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status
P0213-25A0000067,th429,th213,84763,365696,T23010,,1,264.00,,47212,READY_FOR_DELIVERY
DR0214-25A003583,th213,th214,760075,W23783,TLE23027,PR0-R00-S00-574,29,7481.77,605781,726532,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730338,I07187,NP1725,PR0-R00-S00-587,3,60.48,594416,698462,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730346,I07386,SR0019,PR0-R00-S00-587,1,194.40,630752,698470,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730359,O15703,G23100,PR0-R00-S00-587,1,509.61,646921,698483,READY_FOR_DELIVERY
DR0214-25A003590,th213,th214,730360,051580,BT00893,PR0-R00-S00-587,1,209.44,649252,698484,READY_FOR_DELIVERY
DR0214-25A004257,th213,th214,696792,R26764,SPT-36407,PR0-R00-S00-073,10,630.00,632125,666257,READY_FOR_DELIVERY
DR0214-25A004257,th213,th214,696794,R26764,SPT-36407,PR0-R00-S00-073,3,189.00,632124,666257,READY_FOR_DELIVERY
DR0214-25A004257,th213,th214,696795,R26764,SPT-36407,PR0-R00-S00-073,1,63.00,632123,666257,READY_FOR_DELIVERY
DR0214-25A003692,th213,th214,697827,248438,TPJ0092,PR0-R00-S00-721,2,148.36,622350,667104,READY_FOR_DELIVERY
DR0214-25A003754,th213,th214,758983,B16810,G23-0058K,PR0-R00-S00-859,1,61.41,645198,725440,READY_FOR_DELIVERY
DR0214-25A003599,th213,th214,739728,092310,XC23029,PR0-R00-S00-602,1,106.55,673769,706189,READY_FOR_DELIVERY
DR0214-25A003795,th213,th214,716187,273160,SDR-23019,PR0-R00-S00-910,2,274.02,643764,685445,READY_FOR_DELIVERY
DR0214-25A003535,th213,th214,739797,193662,DJAI34,PR0-R00-S00-555,1,50.90,672960,706258,READY_FOR_DELIVERY
DR0214-25A003582,th213,th214,760091,109145,LB224,PR0-R00-S00-573,5,75.26,654816,726548,READY_FOR_DELIVERY
DR0214-25A003845,th213,th214,716617,F36047,220991,PR0-R00-S00-966,1,197.44,596955,685875,READY_FOR_DELIVERY
DR0214-25A003652,th213,th214,716882,I35699,NYTD063,PR0-R00-S00-657,1,79.90,632600,686140,READY_FOR_DELIVERY
DR0214-25A003943,th213,th214,716968,N51238,P2AEW002,PR0-R00-S00-1329,5,628.32,629583,686226,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,717113,I37515,2I23100,PR0-R00-S00-804,1,243.04,626821,686371,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,717114,U17258,ZCN3C06,PR0-R00-S00-804,1,139.59,629492,686372,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,717115,I03601,MT230472,PR0-R00-S00-804,1,150.53,639154,686373,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,739774,O66972,EC23031A,PR0-R00-S00-804,1,317.52,673385,706235,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,759887,I03601,MT230661,PR0-R00-S00-804,1,150.53,660782,726344,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,760383,I37515,2E24159,PR0-R00-S00-804,1,243.04,676033,726840,READY_FOR_DELIVERY
DR0214-25A003722,th213,th214,760384,I37515,2E24159,PR0-R00-S00-804,1,243.04,676860,726841,READY_FOR_DELIVERY
DR0214-25A003561,th213,th214,758744,207389,36HPW005,PR0-R00-S00-571,6,136.95,679886,725201,READY_FOR_DELIVERY
DR0214-25A003561,th213,th214,760150,T68582,A6MMW002,PR0-R00-S00-571,1,101.14,682472,726607,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717189,X35257,MV014,PR0-R00-S00-825,1,38.22,573825,686447,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717190,X35257,MV013-,PR0-R00-S00-825,1,38.22,575458,686448,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717191,X35257,MV004-,PR0-R00-S00-825,1,38.22,575459,686449,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717192,X35257,MV014,PR0-R00-S00-825,1,38.22,594336,686450,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717194,X35257,MV015-,PR0-R00-S00-825,1,38.22,620922,686452,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717195,X35257,MV004-,PR0-R00-S00-825,4,152.88,622623,686453,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717196,X35257,MV014,PR0-R00-S00-825,1,38.22,625789,686454,READY_FOR_DELIVERY
DR0214-25A003734,th213,th214,717197,X35257,MV014,PR0-R00-S00-825,1,38.22,651477,686455,READY_FOR_DELIVERY
DR0214-25A004226,th213,th214,723886,J11889,EE230036,PR0-R00-S00-052,1,130.18,662587,693104,READY_FOR_DELIVERY
DR0214-25A003780,th213,th214,725252,F69080,WDT-623,PR0-R00-S00-012,1,69.50,666162,694174,READY_FOR_DELIVERY
DR0214-25A003768,th213,th214,734361,Y91071,UN182092,PR0-R00-S00-883,1,52.68,622965,702484,READY_FOR_DELIVERY
DR0214-25A003768,th213,th214,734362,335022,UN114069,PR0-R00-S00-883,1,100.80,623366,702485,READY_FOR_DELIVERY
DR0214-25A003768,th213,th214,734363,123760,N129,PR0-R00-S00-883,1,128.80,624990,702486,READY_FOR_DELIVERY
DR0214-25A003768,th213,th214,734364,153175,UN112018,PR0-R00-S00-883,1,136.45,634391,702487,READY_FOR_DELIVERY
DR0214-25A003768,th213,th214,734365,123760,N129,PR0-R00-S00-883,1,128.80,635150,702488,READY_FOR_DELIVERY
DR0214-25A003604,th213,th214,734368,168230,203MBAP2,PR0-R00-S00-608,1,41.15,633805,702491,READY_FOR_DELIVERY
DR0214-25A003604,th213,th214,734370,168230,510MBAP2,PR0-R00-S00-608,1,37.32,647727,702493,READY_FOR_DELIVERY
DR0214-25A003841,th213,th214,734383,185560,T220037,PR0-R00-S00-961,1,39.01,622739,702506,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734386,168220,201CPAN2,PR0-R00-S00-667,1,29.86,634338,702509,READY_FOR_DELIVERY
DR0214-25A003656,th213,th214,734387,168220,202CPAN2,PR0-R00-S00-667,1,29.86,634864,702510,READY_FOR_DELIVERY
